anio;LINEA;TOTAL
2019;"LINEA 502A";24794
2019;"LINEA 502B";167038
2019;"LINEA 503";535899
2019;"LINEA 503 B";1553299
2019;"LINEA 503 ESTE";3603685
2019;"LINEA 503 ESTE LA PLATA";681516
2019;"LINEA 503A BS AS";3720636
2019;"LINEA 503C";284450
2019;"LINEA 503E";322229
2019;"LINEA 503H";390421
2019;"LINEA 504 ITUZAINGO";81428
2019;"LINEA 504A";6597735
2019;"LINEA 504B";127974
2019;"LINEA 504C";588933
2019;"LINEA 505 AMBA ALMIRANTE BROWN";2019606
2019;"LINEA 505 D";1426064
2019;"LINEA 505A";19963
2019;"LINEA 505C";137409
2019;"LINEA 506";656154
2019;"LINEA 506 AMBA ALMIRANTE BROWN";3371048
2019;"LINEA 506A";595956
2019;"LINEA 506B";27793
2019;"LINEA 506F";1148310
2019;"LINEA 507";465922
2019;"LINEA 507B";256259
2019;"LINEA 508";519516
2019;"LINEA 508A";498148
2019;"LINEA 508C";116183
2019;"LINEA 509";439737
2019;"LINEA 509C";349943
2019;"LINEA 509D";158473
2019;"LINEA 51";2848532
2019;"LINEA 510A";601670
2019;"LINEA 510B";2928268
2019;"LINEA 511";607259
2019;"LINEA 511A";1366
2019;"LINEA 511B";1414248
2019;"LINEA 512";197351
2019;"LINEA 513";6784
2019;"LINEA 513A";741266
2019;"LINEA 514";3647845
2019;"LINEA 514BA";9188
2019;"LINEA 515";2255978
2019;"LINEA 518";4331277
2019;"LINEA 518 LA PLATA";113926
2019;"LINEA 520A";2481649
2019;"LINEA 520B";1792650
2019;"LINEA 520C";1427060
2019;"LINEA 521 A";802935
2019;"LINEA 521 AMBA ALMIRANTE BROWN";231900
2019;"LINEA 522";151671
2019;"LINEA 523";735600
2019;"LINEA 524";1110387
2019;"LINEA 526";1776134
2019;"LINEA 527";536240
2019;"LINEA 53";5391947
2019;"LINEA 532";1202356
2019;"LINEA 540 BSAS";1796672
2019;"LINEA 541";1934732
2019;"LINEA 542";1309945
2019;"LINEA 543";2381976
2019;"LINEA 544";1941021
2019;"LINEA 548";1314433
2019;"LINEA 549";427238
2019;"LINEA 55";3529539
2019;"LINEA 550 BSAS";1062756
2019;"LINEA 551";810727
2019;"LINEA 552 BSAS";1179460
2019;"LINEA 553 BSAS";1300000
2019;"LINEA 56";1949119
2019;"LINEA 561";596433
2019;"LINEA 561B";129678
2019;"LINEA 562";1276646
2019;"LINEA 564";1499271
2019;"LINEA 57";4662154
2019;"LINEA 570";1578415
2019;"LINEA 580";716807
2019;"LINEA 582";1701860
2019;"LINEA 583";1244778
2019;"LINEA 584";1185846
2019;"LINEA 585";2644750
2019;"LINEA 586";213635
2019;"LINEA 59";7703050
2019;"LINEA 6";1375782
2019;"LINEA 60";9972736
2019;"LINEA 603";2244965
2019;"LINEA 619";1283790
2019;"LINEA 62";1265215
2019;"LINEA 620";9651430
2019;"LINEA 621";3600600
2019;"LINEA 622";3857933
2019;"LINEA 624";3461126
2019;"LINEA 628";457511
2019;"LINEA 63";3211493
2019;"LINEA 630";1736718
2019;"LINEA 634";1896484
2019;"LINEA 635 BS AS";996695
2019;"LINEA 64";3089297
2019;"LINEA 65";3084099
2019;"LINEA 67";3357575
2019;"LINEA 670";4085325
2019;"LINEA 68";5135738
2019;"LINEA 6JUL";260972
2019;"LINEA 7";2034413
2019;"LINEA 70";2750926
2019;"LINEA 707";4972645
2019;"LINEA 71";4982672
2019;"LINEA 710";2655225
2019;"LINEA 720";6499987
2019;"LINEA 721";4233756
2019;"LINEA 722";643509
2019;"LINEA 723";1572585
2019;"LINEA 74";1653079
2019;"LINEA 740";3492910
2019;"LINEA 741";1577302
2019;"LINEA 749";3886206
2019;"LINEA 75";917877
2019;"LINEA 76";2866248
2019;"LINEA 78";3178274
2019;"LINEA 79";2179034
2019;"LINEA 8";3380975
2019;"LINEA 80";4869639
2019;"LINEA 84";2390682
2019;"LINEA 85";5669989
2019;"LINEA 86";2732638
2019;"LINEA 87";2891969
2019;"LINEA 88";2341530
2019;"LINEA 9";3323037
2019;"LINEA 90";1369580
2019;"LINEA 91";3718631
2019;"LINEA 92";4925902
2019;"LINEA 93";2235594
2019;"LINEA 95";2410291
2019;"LINEA 96";6183436
2019;"LINEA 97";1382244
2019;"LINEA 98";6841415
2019;"LINEA A";22394458
2019;"LINEA B";26521815
2019;"LINEA C";15729023
2019;"LINEA D";23969393
2019;"LINEA E";6857481
2019;"LINEA H";9977802
2019;"LINEA OESTE";6293437
2019;"LINEA PREMETRO";237195
2019;LINEA_099;1730538
2019;"LINEA_NORTE MUNICIPAL";1879095
2019;MATIENZO-CEMENTERIO;38529
2019;NORMAL;401141693
2019;PARQUE-FAVALORO;694
2019;"PARQUE-TOMAS JOFRE";2132
2019;"SARMIENTO DIESEL MORENO - MERCEDES";14963
2019;"SARMIENTO MERLO - LOBOS";448074
2018;BSAS_LINEA_504_ITUZAINGO;233520
2018;"FFCC BELGRANO NORTE";24315036
2018;"FFCC BELGRANO SUR";15958895
2018;"FFCC MITRE";1120635
2018;"FFCC MITRE CAPILLA DEL SEÑOR";43282
2018;"FFCC MITRE-SUAREZ";29341911
2018;"FFCC MITRE-TIGRE";32209551
2018;"FFCC MITRE-ZARATE";65090
2018;"FFCC ROCA";168661560
2018;"FFCC SAN MARTIN";30490941
2018;"FFCC SARMIENTO";81445290
2018;"FFCC TREN DE LA COSTA";440245
2018;"FFCC URQUIZA";27885982
2018;FFCC_ROCA_CAÑUELAS-LOBOS;2607
2018;FFCC_ROCA_CAÑUELAS-MONTE;5897
2018;FFCC_ROCA_KORN-CHASCOMUS;38306
2018;FFCC_ROCA_UNIVERSITARIO;26837
2018;"LINEA 031";13458169
2018;"LINEA 061";3572125
2018;"LINEA 1";4635720
2018;"LINEA 10";9468536
2018;"LINEA 100";13404378
2018;"LINEA 101";14778025
2018;"LINEA 102";8381731
2018;"LINEA 103";9507171
2018;"LINEA 104";31
2018;"LINEA 105";11268647
2018;"LINEA 106";13317307
2018;"LINEA 107";11753690
2018;"LINEA 108";7124441
2018;"LINEA 109";9480806
2018;"LINEA 110";12838734
2018;"LINEA 111";8256219
2018;"LINEA 112";3135918
2018;"LINEA 113";11783099
2018;"LINEA 114";8363307
2018;"LINEA 115";6989757
2018;"LINEA 117";12468633
2018;"LINEA 118";9059963
2018;"LINEA 12";18916350
2018;"LINEA 123";4362413
2018;"LINEA 124";10217813
2018;"LINEA 126";14215609
2018;"LINEA 127";7478689
2018;"LINEA 128";7669275
2018;"LINEA 129";13372559
2018;"LINEA 130";16107697
2018;"LINEA 132";22514312
2018;"LINEA 133";6992753
2018;"LINEA 134";9256571
2018;"LINEA 135";9192157
2018;"LINEA 136 BS AS";7052083
2018;"LINEA 140";6618147
2018;"LINEA 141";8439547
2018;"LINEA 143";4981560
2018;"LINEA 146";9917839
2018;"LINEA 148";26538744
2018;"LINEA 15";21426438
2018;"LINEA 150";7744160
2018;"LINEA 151";10557281
2018;"LINEA 152";30868632
2018;"LINEA 153 BS AS";4140519
2018;"LINEA 154";1736253
2018;"LINEA 158";5469263
2018;"LINEA 159";26002264
2018;"LINEA 160";17600400
2018;"LINEA 161";18785849
2018;"LINEA 163 BS AS";4654779
2018;"LINEA 165";9313678
2018;"LINEA 166";14550660
2018;"LINEA 168";14879569
2018;"LINEA 169";6183593
2018;"LINEA 17";14506744
2018;"LINEA 172";6417784
2018;"LINEA 174 BS AS";9322949
2018;"LINEA 175";4862133
2018;"LINEA 176";24654176
2018;"LINEA 177";8443884
2018;"LINEA 178";17711502
2018;"LINEA 179";5177102
2018;"LINEA 180";22266619
2018;"LINEA 181";8781530
2018;"LINEA 182";14801872
2018;"LINEA 184";5826309
2018;"LINEA 185";4445503
2018;"LINEA 188";10985109
2018;"LINEA 19";8423117
2018;"LINEA 193";2232438
2018;"LINEA 194";7856355
2018;"LINEA 195";3673489
2018;"LINEA 2";10761378
2018;"LINEA 20";5030064
2018;"LINEA 200";1186342
2018;"LINEA 202";13190831
2018;"LINEA 203";46448929
2018;"LINEA 204";3466112
2018;"LINEA 204B";2365564
2018;"LINEA 205";3905236
2018;"LINEA 21";26152359
2018;"LINEA 214";7265008
2018;"LINEA 215";2403157
2018;"LINEA 218";11258014
2018;"LINEA 219";8469884
2018;"LINEA 22";7944004
2018;"LINEA 222";1704099
2018;"LINEA 225";446774
2018;"LINEA 228 B";2928958
2018;"LINEA 228A";633635
2018;"LINEA 228C";2869499
2018;"LINEA 228E";3436179
2018;"LINEA 228F";4355233
2018;"LINEA 23";4163682
2018;"LINEA 236";32451225
2018;"LINEA 237";19049392
2018;"LINEA 237A";1491806
2018;"LINEA 238";6653513
2018;"LINEA 239A";6534559
2018;"LINEA 239B";2847932
2018;"LINEA 24";13984009
2018;"LINEA 242";28267574
2018;"LINEA 243";1047640
2018;"LINEA 244";3482768
2018;"LINEA 245";2504613
2018;"LINEA 247";16224821
2018;"LINEA 25";7126158
2018;"LINEA 252";6971111
2018;"LINEA 253 BS AS";885650
2018;"LINEA 256";433907
2018;"LINEA 257";12629009
2018;"LINEA 26";9793441
2018;"LINEA 263A";3419137
2018;"LINEA 263B";4491662
2018;"LINEA 264";5385425
2018;"LINEA 266";24918784
2018;"LINEA 269";19967754
2018;"LINEA 271";11082476
2018;"LINEA 273";14731290
2018;"LINEA 275";8788957
2018;"LINEA 276";12776136
2018;"LINEA 277";2986551
2018;"LINEA 278";14949701
2018;"LINEA 28";27855012
2018;"LINEA 281";6238708
2018;"LINEA 283";10899662
2018;"LINEA 284";3020974
2018;"LINEA 288";3633775
2018;"LINEA 289";6942292
2018;"LINEA 29";12780867
2018;"LINEA 291";8551006
2018;"LINEA 293A";5371837
2018;"LINEA 293B";3585370
2018;"LINEA 295";6939131
2018;"LINEA 297";5061354
2018;"LINEA 298";9571053
2018;"LINEA 299";6901084
2018;"LINEA 300";6835764
2018;"LINEA 302";6787883
2018;"LINEA 303";9954387
2018;"LINEA 304";12105366
2018;"LINEA 306";20166385
2018;"LINEA 307";12651355
2018;"LINEA 31";1091340
2018;"LINEA 310";2626655
2018;"LINEA 311";11153772
2018;"LINEA 312";6681581
2018;"LINEA 313";1054283
2018;"LINEA 314";15610100
2018;"LINEA 315";7504586
2018;"LINEA 317 BS AS";7523498
2018;"LINEA 318";20927236
2018;"LINEA 32";700717
2018;"LINEA 320";1742707
2018;"LINEA 321 BS AS";2563519
2018;"LINEA 322 BS AS";6138528
2018;"LINEA 323";7722261
2018;"LINEA 324";30240139
2018;"LINEA 325";4502137
2018;"LINEA 326";2632912
2018;"LINEA 327";6423228
2018;"LINEA 328";9606186
2018;"LINEA 329";5355646
2018;"LINEA 32A";3778660
2018;"LINEA 33";14146108
2018;"LINEA 333";6251623
2018;"LINEA 333A";513862
2018;"LINEA 336";2665632
2018;"LINEA 338";22433209
2018;"LINEA 34";15533826
2018;"LINEA 341";15944140
2018;"LINEA 343";16666140
2018;"LINEA 350";7113594
2018;"LINEA 354";11100023
2018;"LINEA 355";688225
2018;"LINEA 36";2792344
2018;"LINEA 365";31762738
2018;"LINEA 37";14427177
2018;"LINEA 370";3659619
2018;"LINEA 371";12580252
2018;"LINEA 372";2041727
2018;"LINEA 373";5528325
2018;"LINEA 378";14157577
2018;"LINEA 379";603944
2018;"LINEA 382";6895786
2018;"LINEA 383";7417309
2018;"LINEA 384";2378824
2018;"LINEA 385";5151238
2018;"LINEA 386";3585354
2018;"LINEA 388";1799533
2018;"LINEA 39";18769760
2018;"LINEA 390";3482972
2018;"LINEA 391";8665108
2018;"LINEA 392";2673479
2018;"LINEA 394";8299664
2018;"LINEA 395";6675462
2018;"LINEA 4";8551795
2018;"LINEA 403";335524
2018;"LINEA 404";10422523
2018;"LINEA 405";5750692
2018;"LINEA 406";10144743
2018;"LINEA 407";5571420
2018;"LINEA 41";13722986
2018;"LINEA 410";2828502
2018;"LINEA 414";502582
2018;"LINEA 418";905689
2018;"LINEA 42";10051785
2018;"LINEA 421";1045614
2018;"LINEA 422";10321800
2018;"LINEA 429";1125420
2018;"LINEA 430";977172
2018;"LINEA 435";701247
2018;"LINEA 436";1914751
2018;"LINEA 437";5106301
2018;"LINEA 44";9654989
2018;"LINEA 440";34624806
2018;"LINEA 441";6224834
2018;"LINEA 443";606378
2018;"LINEA 443A";3166864
2018;"LINEA 445";3111232
2018;"LINEA 446";411814
2018;"LINEA 448";17274769
2018;"LINEA 449";7618094
2018;"LINEA 45";10342728
2018;"LINEA 46";8354724
2018;"LINEA 461";1171459
2018;"LINEA 462";868688
2018;"LINEA 463";5981988
2018;"LINEA 464";3855339
2018;"LINEA 47";10002859
2018;"LINEA 49";4265394
2018;"LINEA 5";10677508
2018;"LINEA 50";8492106
2018;"LINEA 500";564131
2018;"LINEA 500-503";243701
2018;"LINEA 500B";438734
2018;"LINEA 500C";596404
2018;"LINEA 500D";17681434
2018;"LINEA 500G";6859291
2018;"LINEA 500H";1925423
2018;"LINEA 501 A";18637905
2018;"LINEA 501B";5445117
2018;"LINEA 501C";30866805
2018;"LINEA 501D";681202
2018;"LINEA 501E";1011638
2018;"LINEA 501F";2394149
2018;"LINEA 501G";58011655
2018;"LINEA 501H";484705
2018;"LINEA 501I";4132407
2018;"LINEA 502";148541
2018;"LINEA 502 SUR";299125
2018;"LINEA 502A";102149
2018;"LINEA 502B";556489
2018;"LINEA 503";2793963
2018;"LINEA 503 B";4715624
2018;"LINEA 503 ESTE";11410775
2018;"LINEA 503 ESTE LA PLATA";2171949
2018;"LINEA 503A BS AS";12471299
2018;"LINEA 503C";1102583
2018;"LINEA 503E";76308
2018;"LINEA 503H";103280
2018;"LINEA 503H (RIVAS)";1253949
2018;"LINEA 504 ITUZAINGO";45059
2018;"LINEA 504A";21715207
2018;"LINEA 504B";236466
2018;"LINEA 504C";1789242
2018;"LINEA 505 AMBA ALMIRANTE BROWN";6717609
2018;"LINEA 505 D";4677747
2018;"LINEA 505A";723
2018;"LINEA 505C";818218
2018;"LINEA 505E";15343
2018;"LINEA 506";1940819
2018;"LINEA 506 AMBA ALMIRANTE BROWN";11244229
2018;"LINEA 506A";1944126
2018;"LINEA 506B";26516
2018;"LINEA 506F";3455671
2018;"LINEA 507";1567480
2018;"LINEA 507B";1031605
2018;"LINEA 508";1658091
2018;"LINEA 508A";1754011
2018;"LINEA 508C";404718
2018;"LINEA 509";1885078
2018;"LINEA 509C";1245136
2018;"LINEA 509D";34419
2018;"LINEA 51";8969677
2018;"LINEA 510A";2029040
2018;"LINEA 510B";9458547
2018;"LINEA 511";1718519
2018;"LINEA 511A";8159
2018;"LINEA 511B";4560259
2018;"LINEA 512";658570
2018;"LINEA 513";25525
2018;"LINEA 513A";2040539
2018;"LINEA 514";11460804
2018;"LINEA 514BA";5082
2018;"LINEA 515";7438681
2018;"LINEA 518";14550897
2018;"LINEA 518 LA PLATA";416978
2018;"LINEA 520A";8526520
2018;"LINEA 520B";5794276
2018;"LINEA 520C";4598071
2018;"LINEA 521 A";2669206
2018;"LINEA 521 AMBA ALMIRANTE BROWN";773987
2018;"LINEA 522";451486
2018;"LINEA 523";2442856
2018;"LINEA 524";3764309
2018;"LINEA 526";5594566
2018;"LINEA 527";1802821
2018;"LINEA 53";17647808
2018;"LINEA 532";5065671
2018;"LINEA 540 BSAS";5958403
2018;"LINEA 541";6374159
2018;"LINEA 542";4400128
2018;"LINEA 543";7637682
2018;"LINEA 544";6500547
2018;"LINEA 548";4262134
2018;"LINEA 549";1253921
2018;"LINEA 55";11817864
2018;"LINEA 550 BSAS";3732817
2018;"LINEA 551";2688233
2018;"LINEA 552 BSAS";4242368
2018;"LINEA 553 BSAS";4223653
2018;"LINEA 56";6570120
2018;"LINEA 561";1837793
2018;"LINEA 561B";451630
2018;"LINEA 562";4098893
2018;"LINEA 564";4990283
2018;"LINEA 57";15705425
2018;"LINEA 570";5705882
2018;"LINEA 580";2433897
2018;"LINEA 582";6094923
2018;"LINEA 583";3986922
2018;"LINEA 584";3979735
2018;"LINEA 585";8598337
2018;"LINEA 586";984263
2018;"LINEA 59";24445886
2018;"LINEA 6";4860704
2018;"LINEA 60";30084896
2018;"LINEA 603";6941691
2018;"LINEA 61";64676
2018;"LINEA 619";4628393
2018;"LINEA 62";3607518
2018;"LINEA 620";30771492
2018;"LINEA 621";11599349
2018;"LINEA 622";13024924
2018;"LINEA 624";11547210
2018;"LINEA 628";1564740
2018;"LINEA 63";10377477
2018;"LINEA 630";5823107
2018;"LINEA 634";6392267
2018;"LINEA 635 BS AS";3124782
2018;"LINEA 64";9969630
2018;"LINEA 65";10507681
2018;"LINEA 67";10107762
2018;"LINEA 670";13467489
2018;"LINEA 68";16626951
2018;"LINEA 6JUL";50413
2018;"LINEA 7";6629712
2018;"LINEA 70";9133126
2018;"LINEA 707";16502559
2018;"LINEA 71";16778453
2018;"LINEA 710";9507591
2018;"LINEA 720";23983380
2018;"LINEA 721";14958935
2018;"LINEA 722";1900812
2018;"LINEA 723";5076355
2018;"LINEA 74";4855752
2018;"LINEA 740";10903454
2018;"LINEA 741";4744948
2018;"LINEA 749";11940583
2018;"LINEA 75";2973897
2018;"LINEA 76";9997667
2018;"LINEA 78";10426589
2018;"LINEA 79";6640046
2018;"LINEA 8";11290320
2018;"LINEA 80";16255803
2018;"LINEA 84";7736295
2018;"LINEA 85";19594767
2018;"LINEA 86";8939306
2018;"LINEA 87";9768054
2018;"LINEA 88";8524413
2018;"LINEA 9";11406185
2018;"LINEA 90";4890667
2018;"LINEA 91";12520789
2018;"LINEA 92";16788824
2018;"LINEA 93";7813453
2018;"LINEA 95";7877823
2018;"LINEA 96";20370112
2018;"LINEA 97";4918988
2018;"LINEA 98";22588681
2018;"LINEA 99";79483
2018;"LINEA A";67330086
2018;"LINEA B";88238734
2018;"LINEA C";52005666
2018;"LINEA D";78150460
2018;"LINEA E";22387115
2018;"LINEA H";31116324
2018;"LINEA OESTE";19852194
2018;"LINEA PREMETRO";780403
2018;"LINEA SIN NUMERO (COOP 6 DE JULIO)";749687
2018;"LINEA SUR MUNICIPAL";3800722
2018;LINEA_099;5393677
2018;LINEA_500-503;3569503
2018;"LINEA_NORTE MUNICIPAL";430387
2018;"NORTE MUNICIPAL";5730264
2018;"SARMIENTO DIESEL MORENO - MERCEDES";30838
2018;"SARMIENTO MERLO - LOBOS";475183
2017;BSAS_LINEA_504_ITUZAINGO;409058
2017;"FFCC BELGRANO NORTE";22096528
2017;"FFCC BELGRANO SUR";11509318
2017;"FFCC MITRE";2639935
2017;"FFCC MITRE-SUAREZ";22212807
2017;"FFCC MITRE-TIGRE";34492750
2017;"FFCC MITRE-ZARATE";14637
2017;"FFCC ROCA";138518785
2017;"FFCC SAN MARTIN";48702482
2017;"FFCC SARMIENTO";60601273
2017;"FFCC TREN DE LA COSTA";195437
2017;"FFCC URQUIZA";20146945
2017;"LINEA 031";14891393
2017;"LINEA 1";4903728
2017;"LINEA 10";10163722
2017;"LINEA 100";14336427
2017;"LINEA 101";10758462
2017;"LINEA 102";8841556
2017;"LINEA 103";10055905
2017;"LINEA 104";76005
2017;"LINEA 105";11165348
2017;"LINEA 106";13462047
2017;"LINEA 107";11556858
2017;"LINEA 108";7087746
2017;"LINEA 109";9387733
2017;"LINEA 110";13035361
2017;"LINEA 111";8155799
